dates;simulation_Les Oubliels;forecast_('norain', 'Les Oubliels');forecast_('10%', 'Les Oubliels');forecast_('20%', 'Les Oubliels');forecast_('50%', 'Les Oubliels');forecast_('80%', 'Les Oubliels');forecast_('90%', 'Les Oubliels')
2005-07-03;12,013273;;;;;;
2005-07-04;12,00353;;;;;;
2005-07-05;11,993859;;;;;;
2005-07-06;11,984272;;;;;;
2005-07-07;11,974777;;;;;;
2005-07-08;11,965384;;;;;;
2005-07-09;11,956096;;;;;;
2005-07-10;11,946919;;;;;;
2005-07-11;11,937857;;;;;;
2005-07-12;11,92891;;;;;;
2005-07-13;11,920083;;;;;;
2005-07-14;11,911375;;;;;;
2005-07-15;11,902788;;;;;;
2005-07-16;11,894322;;;;;;
2005-07-17;11,885978;;;;;;
2005-07-18;11,877753;;;;;;
2005-07-19;11,869648;;;;;;
2005-07-20;11,861663;;;;;;
2005-07-21;11,853796;;;;;;
2005-07-22;11,8460455;;;;;;
2005-07-23;11,838412;;;;;;
2005-07-24;11,830893;;;;;;
2005-07-25;11,823487;;;;;;
2005-07-26;11,816193;;;;;;
2005-07-27;11,80901;;;;;;
2005-07-28;11,801936;;;;;;
2005-07-29;11,79497;;;;;;
2005-07-30;11,78811;;;;;;
2005-07-31;11,781355;;;;;;
2005-08-01;11,774703;;;;;;
2005-08-02;11,768153;;;;;;
2005-08-03;11,7617035;;;;;;
2005-08-04;11,755352;;;;;;
2005-08-05;11,749099;;;;;;
2005-08-06;11,742942;;;;;;
2005-08-07;11,736878;;;;;;
2005-08-08;11,730909;;;;;;
2005-08-09;11,725031;;;;;;
2005-08-10;11,723808;;;;;;
2005-08-11;11,721865;;;;;;
2005-08-12;11,719332;;;;;;
2005-08-13;11,716318;;;;;;
2005-08-14;11,712917;;;;;;
2005-08-15;11,709206;;;;;;
2005-08-16;11,705246;;;;;;
2005-08-17;11,701092;;;;;;
2005-08-18;11,696787;;;;;;
2005-08-19;11,6923685;;;;;;
2005-08-20;11,687868;;;;;;
2005-08-21;11,683313;;;;;;
2005-08-22;11,678722;;;;;;
2005-08-23;11,674112;;;;;;
2005-08-24;11,669498;;;;;;
2005-08-25;11,664893;;;;;;
2005-08-26;11,660306;;;;;;
2005-08-27;11,655745;;;;;;
2005-08-28;11,6512165;;;;;;
2005-08-29;11,646728;;;;;;
2005-08-30;11,642281;;;;;;
2005-08-31;11,63788;;;;;;
2005-09-01;11,63353;;;;;;
2005-09-02;11,629231;;;;;;
2005-09-03;11,624985;;;;;;
2005-09-04;11,620793;;;;;;
2005-09-05;12,020328;;;;;;
2005-09-06;12,566919;;;;;;
2005-09-07;13,683952;;;;;;
2005-09-08;14,502314;;;;;;
2005-09-09;14,921406;;;;;;
2005-09-10;15,136961;;;;;;
2005-09-11;15,233137;;;;;;
2005-09-12;15,254181;;;;;;
2005-09-13;15,226212;;;;;;
2005-09-14;15,165826;;;;;;
2005-09-15;15,084106;;;;;;
2005-09-16;14,988705;;;;;;
2005-09-17;14,885029;;;;;;
2005-09-18;14,776956;;;;;;
2005-09-19;14,667287;;;;;;
2005-09-20;14,55805;;;;;;
2005-09-21;14,450708;;;;;;
2005-09-22;14,3463;;;;;;
2005-09-23;14,24555;;;;;;
2005-09-24;14,148944;;;;;;
2005-09-25;14,0569935;;;;;;
2005-09-26;13,969606;;;;;;
2005-09-27;13,886856;;;;;;
2005-09-28;13,808737;;;;;;
2005-09-29;13,735178;;;;;;
2005-09-30;13,66607;;;;;;
2005-10-01;13,601268;;;;;;
2005-10-02;13,540606;;;;;;
2005-10-03;13,483902;;;;;;
2005-10-04;13,431015;;;;;;
2005-10-05;13,381701;;;;;;
2005-10-06;13,335756;;;;;;
2005-10-07;13,29299;;;;;;
